Nome: REDENCAO
Codigo Estacao: A254
Latitude: -8.04333333
Longitude: -50.00694444
Altitude: 199
Situacao: Operante
Data Inicial: 2019-07-10
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;null;null;null;28,1;5;null;
2019-08-31;null;0;990,1;29,1;5,2;1,7;
2019-09-30;5;63,8;987,6;29,9;6,3;1,8;
2019-10-31;15;279,6;987;26,6;6,2;1,5;
2019-11-30;13;155,8;986,2;26,5;7,4;1,4;
2019-12-31;15;162,2;986,5;26,6;6,5;1,5;
2020-01-31;24;326,2;988;26,4;6,2;1,4;
2020-02-29;23;377,8;988,3;26,1;4,8;1,4;
2020-03-31;23;398,6;988,2;26,1;5,6;1,4;
2020-04-30;16;162,2;988,8;26,6;5,5;1,3;
2020-05-31;11;165,6;989,5;27;4,8;1,4;
2020-06-30;1;16;989,7;27,1;4,6;1,4;
2020-07-31;0;0;989,2;27,3;4,6;1,5;
2020-08-31;1;1,4;988,4;29;5,8;1,6;
2020-09-30;3;70;987,3;29,9;5,5;1,6;
2020-10-31;7;103,8;986,6;28,5;6,1;1,7;

