Nome: ZE DOCA
Codigo Estacao: A255
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 45.5
Situacao: Operante
Data Inicial: 2019-09-17
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-09-30;1;null;null;null;null;null;
2019-10-31;4;6,6;1005,2;28,1;6;2,4;
2019-11-30;5;41,4;1003,9;28,4;5,2;2,2;
2019-12-31;12;91,8;1004,3;27,9;6,2;2,2;
2020-01-31;30;485,4;1006,1;26,1;6,9;1,6;
2020-02-29;22;318,2;1006,1;26,3;7,5;1,6;
2020-03-31;26;178,8;1006;26,5;5,9;1,6;
2020-04-30;25;393,2;1006,5;26,5;null;null;
2020-05-31;17;204,6;1007;27,5;null;null;
2020-06-30;9;43,8;1007,1;27,4;null;null;
2020-07-31;2;9;1006,8;27,4;null;null;
2020-08-31;0;0;1006,7;27,8;null;null;
2020-09-30;4;10,8;1006,1;28,3;null;null;
2020-10-31;3;21,6;1005,1;28,7;null;null;

