Nome: NITEROI
Codigo Estacao: A627
Latitude: -22.86749999
Longitude: -43.10194444
Altitude: 6
Situacao: Operante
Data Inicial: 2018-07-12
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-07-31;2;null;null;22,9;5,2;null;
2018-08-31;12;73,8;1019,7;21,5;4,5;1,4;
2018-09-30;12;54,6;1015,3;23,5;5,4;1,5;
2018-10-31;21;92,4;1013,9;24,3;4,9;1,5;
2018-11-30;16;155;1013,8;25,5;6;1,5;
2018-12-31;9;26,4;1012,5;27,4;6,2;1,6;
2019-01-31;4;35,2;1013;30,2;5,6;1,7;
2019-02-28;16;219,6;1011,5;27,9;5,1;1,4;
2019-03-31;17;179,6;1013,9;27,1;5,5;1,3;
2019-04-30;10;197,6;1013,5;26,5;6,3;1,3;
2019-05-31;8;79,4;1015;24,7;4,2;1,2;
2019-06-30;7;47,6;1019,6;23,3;5,6;1;
2019-07-31;6;20,4;1019,6;21,6;5,1;1,3;
2019-08-31;11;69,4;1021,8;21,4;5,9;1,3;
2019-09-30;14;83,8;1017,3;23,2;5,8;1,5;
2019-10-31;7;43;1014,4;25,4;5,1;1,6;
2019-11-30;10;74,2;1013;25;5,7;1,7;
2019-12-31;14;136,4;1012,3;26,5;5,3;1,6;
2020-01-31;15;149,2;1010,7;27,3;4,9;1,4;
2020-02-29;21;302,4;1012,7;26,5;4,7;1,3;
2020-03-31;10;159,8;1014,8;25,4;5;1,3;
2020-04-30;9;27,6;1016,5;24,2;5,1;1,3;
2020-05-31;12;106,4;1017,4;22;5,6;1,2;
2020-06-30;2;3,4;1018,3;23;5,5;1,1;
2020-07-31;5;36,2;1018,6;22,6;5,1;1,2;
2020-08-31;6;96,6;1019,8;22,2;5,1;1,4;
2020-09-30;7;104,2;1016,4;25,2;5,9;1,4;
2020-10-31;13;58,6;1013,7;25,1;5,9;1,6;

