Nome: SANTA MARIA MADALENA
Codigo Estacao: A630
Latitude: -21.95055555
Longitude: -42.01027777
Altitude: 586
Situacao: Operante
Data Inicial: 2018-10-15
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-10-31;8;null;null;19,9;4,1;null;
2018-11-30;16;141,2;950,8;21,1;4,3;,8;
2018-12-31;13;93,6;949,8;22,4;4,6;,7;
2019-01-31;6;39;951,3;24,6;3,9;,7;
2019-02-28;16;146,4;949,2;23,7;3,7;,6;
2019-03-31;23;235,8;951;23;3,5;,6;
2019-04-30;14;34,4;950,6;22;3,7;,5;
2019-05-31;15;101;951,9;20;3,7;,4;
2019-06-30;13;23,2;956,1;18,1;3,6;,3;
2019-07-31;13;12;955,5;16,1;3,8;,4;
2019-08-31;11;15,8;957,5;16,7;4,1;,4;
2019-09-30;11;45,8;953,5;19,8;0;0;
2019-10-31;10;28,2;951,3;21,3;0;0;
2019-11-30;19;283;949,6;21,3;2,8;,1;
2019-12-31;18;304,8;949,7;21,9;4,5;,6;
2020-01-31;18;225,6;948,1;22,9;4,8;,6;
2020-02-29;22;183,2;950,1;22,5;3,9;,6;
2020-03-31;19;240,6;951,2;21,2;5,6;,7;
2020-04-30;14;64,4;952,7;19,7;3,8;,6;
2020-05-31;17;165,4;953,7;17,2;4,2;,4;
2020-06-30;19;32,8;955;17,7;3,5;,4;
2020-07-31;12;11,2;955,1;17,2;3,5;,5;
2020-08-31;14;25,6;955,7;17,3;3,7;,6;
2020-09-30;7;67,8;953,2;20,6;4,5;,8;
2020-10-31;16;110,4;950,4;21,2;5,1;,7;

