Nome: SAO SIMAO
Codigo Estacao: A770
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620
Situacao: Operante
Data Inicial: 2019-07-02
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;4;23,6;949,6;18,6;7,4;1,9;
2019-08-31;5;8,6;949,7;20,7;7,2;2,2;
2019-09-30;8;66;945,7;24,6;7,4;2,2;
2019-10-31;10;100;943,7;25,9;7,1;2,1;
2019-11-30;15;205,2;942,4;24,7;6,6;2,1;
2019-12-31;18;213,6;943;24,7;5,3;1,7;
2020-01-31;16;399,8;942,2;24,7;6,8;1,7;
2020-02-29;21;249;943,8;23,9;5,2;1,7;
2020-03-31;8;121,2;944,6;24,1;5,7;2;
2020-04-30;4;15;946,1;22,1;4,7;1,7;
2020-05-31;3;11,6;947,7;18,9;4,9;1,6;
2020-06-30;5;12,8;948,3;20,5;6,3;1,7;
2020-07-31;0;0;947,9;20,5;6,5;1,7;
2020-08-31;1;2,6;948;21,5;5,9;2,3;
2020-09-30;5;24,2;945,5;25,9;7,3;2,1;
2020-10-31;9;57,4;942,8;25,8;9;2,3;

