Nome: ANGICAL DO PIAUI
Codigo Estacao: A377
Latitude: -6.08944444
Longitude: -42.72749999
Altitude: 183
Situacao: Pane
Data Inicial: 2019-11-13
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-11-30;3;null;null;null;null;null;
2019-12-31;14;101,8;987,9;28,5;4,2;1,1;
2020-01-31;17;112;989,9;26,2;5,4;1;
2020-02-29;21;200,4;990,1;26;4,5;,9;
2020-03-31;27;616,4;990;25,8;4,8;,9;
2020-04-30;24;199,2;990,6;26;3,8;,9;
2020-05-31;17;57,6;991,4;25,9;4;1;
2020-06-30;4;6,6;991,8;25,2;4;1,1;
2020-07-31;0;0;991,5;25;4,4;1,3;
2020-08-31;0;0;991,1;26,2;4,9;1,4;
2020-09-30;2;,8;990,1;28,1;4,5;1,4;
2020-10-31;8;33,6;988,6;29,6;4,3;1,3;

