Nome: CAPAO DO LEAO (PELOTAS)
Codigo Estacao: A887
Latitude: -31.8025
Longitude: -52.40722222
Altitude: 13
Situacao: Operante
Data Inicial: 2019-07-17
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-07-31;6;null;null;null;null;null;
2019-08-31;6;99,8;1020,6;12,8;10;3,2;
2019-09-30;9;142,2;1017;14,7;10,6;3,2;
2019-10-31;17;259;1014;18,5;10,7;3,5;
2019-11-30;8;99;1012,2;21,1;9,1;3,8;
2019-12-31;7;37,6;1010,3;22,7;8;3,4;
2020-01-31;9;38,4;1010,4;23,8;8,4;3,3;
2020-02-29;9;33,4;1012,7;23,4;9;3,7;
2020-03-31;9;36,8;1014,2;23;7,2;3,1;
2020-04-30;13;102,6;1015,7;19;11,3;3,7;
2020-05-31;10;91,4;1014,9;15,6;9,6;3;
2020-06-30;15;209,8;1014,9;14,4;9,9;3;
2020-07-31;11;126,8;1016,4;12,2;13,8;3;
2020-08-31;12;51,2;1017,9;13,9;8,2;2,8;
2020-09-30;14;190,8;1016,4;14,7;9,8;3,3;
2020-10-31;13;130,4;1014,3;17,4;9,6;3,8;

