Nome: SERRA NOVA DOURADA
Codigo Estacao: A943
Latitude: -11.98777777
Longitude: -51.4261111
Altitude: 441
Situacao: Pane
Data Inicial: 2019-03-28
Data Final: 2020-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-03-31;null;null;null;null;null;null;
2019-04-30;12;null;961,7;25,7;9,1;2,2;
2019-05-31;5;19,2;961,7;26,7;6,3;2,6;
2019-06-30;1;7,8;964,2;26,2;8,5;3,4;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;6;null;null;25,3;9,1;null;
2020-01-31;19;279,8;960,9;24,9;8,6;2,5;
2020-02-29;20;352,8;961,4;25,3;7;2,4;
2020-03-31;24;197,4;961,1;25,2;8,7;2,4;
2020-04-30;16;291;962,2;25,6;7,3;2,5;
2020-05-31;4;110;963,4;25;7;2,9;
2020-06-30;0;0;963,7;25,6;7,8;3,2;
2020-07-31;0;0;963,4;26,2;8,9;3,5;
2020-08-31;0;0;962,5;27,9;9,8;3,7;
2020-09-30;2;5,8;961,1;29,8;8,9;3,7;
2020-10-31;12;121,2;959,8;27,8;14,5;3,2;

